Player,Matches,Batting Avg,Strike Rate,Bowling Economy,Bowling Avg Wickets
LMP Simmons,8,20.71,116.94,0.0,0.0
RP Singh,4,0.0,0.0,8.45,0.75
RG Sharma,50,26.16,134.81,0.0,0.0
I Sharma,50,10.0,80.0,8.05,0.8
HH Pandya,50,26.08,136.49,8.76,0.63
JC Buttler,50,46.05,144.65,0.0,0.0
MR Marsh,38,31.59,144.55,7.55,0.55
AT Rayudu,50,27.8,127.38,0.0,0.0
KA Pollard,50,32.79,142.15,7.53,0.25
R Bhatia,13,25.0,135.14,7.0,0.62
S Gopal,46,14.0,103.7,8.02,0.98
M Ashwin,44,5.83,70.0,7.56,0.8
Harbhajan Singh,50,13.86,79.51,7.3,0.76
R Ashwin,50,17.9,125.33,7.43,0.82
R Vinay Kumar,6,19.0,118.75,8.94,1.17
MJ McClenaghan,44,8.0,107.46,7.86,1.2
AM Rahane,50,24.73,131.6,0.0,0.0
F du Plessis,50,37.3,140.54,0.0,0.0
JJ Bumrah,50,13.5,75.0,6.44,1.41
KP Pietersen,4,24.33,119.67,0.0,0.0
MA Agarwal,50,29.45,133.21,0.0,0.0
AD Russell,50,29.72,154.89,9.63,0.98
Q de Kock,50,29.38,131.9,0.0,0.0
UT Yadav,50,9.5,98.28,8.15,0.94
SS Iyer,50,40.19,140.15,7.0,0.0
JW Hastings,2,0.0,0.0,5.0,1.0
KK Nair,50,25.52,127.89,0.0,0.0
SV Samson,50,36.43,143.93,0.0,0.0
P Negi,26,14.2,109.79,7.28,0.85
C Munro,12,19.67,122.92,7.5,0.0
GB Hogg,5,0.0,0.0,8.33,0.8
PP Chawla,50,10.44,104.44,8.41,1.08
CR Brathwaite,16,15.08,150.83,8.19,0.81
CH Morris,50,24.62,152.51,7.6,1.29
NM Coulter-Nile,25,8.83,108.16,7.26,1.2
A Mishra,50,22.5,78.95,7.46,0.98
Z Khan,23,3.33,38.46,7.33,0.87
RV Uthappa,50,23.56,121.61,0.0,0.0
G Gambhir,36,43.36,117.83,0.0,0.0
MK Pandey,50,34.17,120.89,0.0,0.0
M Vijay,20,31.17,114.72,6.0,0.0
P Kumar,22,6.4,88.89,7.35,0.68
M Vohra,26,20.64,123.15,0.0,0.0
PJ Sangwan,11,1.0,26.67,9.13,0.73
JP Faulkner,15,18.71,109.17,9.44,0.67
S Ladda,1,0.0,0.0,10.5,0.0
RA Jadeja,50,33.24,133.6,7.59,0.82
DA Miller,50,40.43,134.6,0.0,0.0
DJ Bravo,50,14.92,120.5,7.56,1.14
GJ Maxwell,50,26.37,153.77,7.45,0.43
WP Saha,50,26.16,118.29,0.0,0.0
MP Stoinis,50,28.26,144.74,9.51,0.27
AR Patel,50,32.75,136.66,7.42,0.65
AJ Finch,50,26.24,127.4,0.0,0.0
Sandeep Sharma,50,28.0,84.85,7.84,0.86
BB McCullum,33,25.03,135.53,0.0,0.0
MG Johnson,14,20.5,97.62,8.2,0.79
SK Raina,50,30.44,124.68,8.0,0.0
MM Sharma,50,8.33,48.08,9.23,1.14
KD Karthik,50,29.35,156.63,0.0,0.0
P Sahu,5,19.0,146.15,8.07,0.6
Ishan Kishan,50,29.11,136.8,24.0,0.0
CH Gayle,50,35.26,135.51,6.24,0.0
A Nehra,14,1.0,100.0,7.86,1.21
V Kohli,50,52.33,137.87,0.0,0.0
B Kumar,50,9.9,77.95,8.24,0.92
AB de Villiers,50,50.03,155.46,0.0,0.0
Mustafizur Rahman,50,6.5,54.17,7.87,1.02
MC Henriques,34,24.5,122.81,7.89,0.5
KV Sharma,46,13.33,122.45,8.82,1.02
A Ashish Reddy,3,47.0,156.67,10.17,0.33
